/Users/issomeli/smart-foyer/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-05-20 13:39:34,303 [lidl] INFO Fetching sitemap index: https://www.lidl.fr/static/sitemap.xml
2026-05-20 13:39:34,549 [lidl] INFO Fetching product sitemap: https://www.lidl.fr/p/export/FR/fr/product_sitemap.xml.gz
2026-05-20 13:39:36,266 [lidl] INFO Found 11967 product URLs
2026-05-20 13:39:36,267 [lidl] INFO Limited to 10000 products
2026-05-20 13:39:36,267 [lidl] INFO [1/10000] https://www.lidl.fr/p/creme-fraiche-allegee-15/p100
2026-05-20 13:39:36,694 [lidl] INFO   -> Crème fraîche allégée 15 % | 0.0 EUR | Envia
2026-05-20 13:39:37,699 [lidl] INFO [2/10000] https://www.lidl.fr/p/filet-de-colin-d-alaska-meuniere-msc/p10000068
2026-05-20 13:39:37,987 [lidl] INFO   -> Filet de colin d'Alaska meunière MSC | 0.0 EUR | 
2026-05-20 13:39:38,992 [lidl] INFO [3/10000] https://www.lidl.fr/p/pommes-de-terre-a-la-sarladaise/p10000084
2026-05-20 13:39:39,271 [lidl] INFO   -> Pommes de terre à la Sarladaise | 0.0 EUR | 
2026-05-20 13:39:40,276 [lidl] INFO [4/10000] https://www.lidl.fr/p/poulet-fermier-blanc-label-rouge/p10000140
2026-05-20 13:39:40,541 [lidl] INFO   -> Poulet fermier blanc Label Rouge | 0.0 EUR | 
